Jewish Year,Month,Day,Audio File,,Document File,Audio Link,Doc Link,Match Type,Date 
5740,Shvat,10,2549--5740-Shvat 10e Sicha 5.mp3,,10 Shevat 5740 Sicha 4.docx,https://drive.google.com/file/d/1OmsfHsaXcoiLeCuEQvOLcgwahGyAp4U9/view,https://docs.google.com/document/d/1r2y2e1Qy2dZl5csnGMdp4coViWM-CEmt/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2549--5740-Shvat 10e Sicha 5.mp3,,10 Shevat 5740 Sicha 6.docx,https://drive.google.com/file/d/1OmsfHsaXcoiLeCuEQvOLcgwahGyAp4U9/view,https://docs.google.com/document/d/1bB-Q5pTGTx5UV-LOjrYY3RjjxoVykTS8/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2549--5740-Shvat 10e Sicha 5.mp3,,10 Shevat 5740 Sicha 3.docx,https://drive.google.com/file/d/1OmsfHsaXcoiLeCuEQvOLcgwahGyAp4U9/view,https://docs.google.com/document/d/1GW_cnbrHk3ERfY-OdIsnedeUbpTVrKql/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2549--5740-Shvat 10e Sicha 5.mp3,,10 Shevat 5740 Sicha 2.docx,https://drive.google.com/file/d/1OmsfHsaXcoiLeCuEQvOLcgwahGyAp4U9/view,https://docs.google.com/document/d/1MHdu4k4VBKmAMf9o4EfUhKCPWx93XkNs/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2549--5740-Shvat 10e Sicha 5.mp3,,10 Shevat 5740 Sicha 1.docx,https://drive.google.com/file/d/1OmsfHsaXcoiLeCuEQvOLcgwahGyAp4U9/view,https://docs.google.com/document/d/1gNrZfk6gCuOriXmDNWexjTGDugXaPl8q/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2549--5740-Shvat 10e Sicha 5.mp3,,10 Shevat 5740 - Maamar.DOC,https://drive.google.com/file/d/1OmsfHsaXcoiLeCuEQvOLcgwahGyAp4U9/view,https://docs.google.com/document/d/17TYbZnryCPg_buGdcUqykSVWuWRpqAfJ/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2549--5740-Shvat 10e Sicha 5.mp3,,10 Shvat 5740 Sichos 4-5.docx,https://drive.google.com/file/d/1OmsfHsaXcoiLeCuEQvOLcgwahGyAp4U9/view,https://docs.google.com/document/d/1Bl5FYYWQo6Zni9E2-4nbAdD7nrNiUYlf/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2545--5740-Shvat 10 Sicha 1.mp3,,10 Shevat 5740 Sicha 5.docx,https://drive.google.com/file/d/1OvnnTm9OrcQA-8kY40DJIsgsvqstjakY/view,https://docs.google.com/document/d/17y4JwsEqzViJPoA0Cd_veDtd8kmCmaw5/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2545--5740-Shvat 10 Sicha 1.mp3,,10 Shevat 5740 Sicha 4.docx,https://drive.google.com/file/d/1OvnnTm9OrcQA-8kY40DJIsgsvqstjakY/view,https://docs.google.com/document/d/1r2y2e1Qy2dZl5csnGMdp4coViWM-CEmt/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2545--5740-Shvat 10 Sicha 1.mp3,,10 Shevat 5740 Sicha 6.docx,https://drive.google.com/file/d/1OvnnTm9OrcQA-8kY40DJIsgsvqstjakY/view,https://docs.google.com/document/d/1bB-Q5pTGTx5UV-LOjrYY3RjjxoVykTS8/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2545--5740-Shvat 10 Sicha 1.mp3,,10 Shevat 5740 Sicha 3.docx,https://drive.google.com/file/d/1OvnnTm9OrcQA-8kY40DJIsgsvqstjakY/view,https://docs.google.com/document/d/1GW_cnbrHk3ERfY-OdIsnedeUbpTVrKql/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2545--5740-Shvat 10 Sicha 1.mp3,,10 Shevat 5740 Sicha 2.docx,https://drive.google.com/file/d/1OvnnTm9OrcQA-8kY40DJIsgsvqstjakY/view,https://docs.google.com/document/d/1MHdu4k4VBKmAMf9o4EfUhKCPWx93XkNs/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
5740,Shvat,10,2545--5740-Shvat 10 Sicha 1.mp3,,10 Shevat 5740 Sicha 1.docx,https://drive.google.com/file/d/1OvnnTm9OrcQA-8kY40DJIsgsvqstjakY/view,https://docs.google.com/document/d/1gNrZfk6gCuOriXmDNWexjTGDugXaPl8q/edit?usp=drivesdk&ouid=114025174537689601343&rtpof=true&sd=true,MATCHED,
